Handle,craft,fabric,color,Product Types
muskaan-purple-kurta-set,"Zari Work, Applique Work, Gota Patti","Silk, Organza","Pink, Purple",Kurta Set
muskaan-yellow-green-kurta-set,"Zari Work, Applique Work, Gota Patti","Silk, Organza","Blue, Yellow, Green",Kurta Set
kosha-black-kurta-set,"Applique Work, Thread Embroidery","Silk, Georgette, Organza",Black,Kurta Set
kosha-dark-red-kurta-set,"Applique Work, Thread Embroidery","Silk, Georgette, Organza",Red,Kurta Set
bahara-dark-green-kurta-set,"Zari Work, Applique Work, Thread Embroidery","Silk, Organza",Green,Kurta Set
ahila-dark-green-kurta-set,"Applique Work, Zari Work","Silk, Georgette",Green,Kurta Set
saanjh-blue-kurta-set,"Applique Work, Thread Embroidery","Silk, Georgette",Blue,Kurta Set
saanjh-black-kurta-set,"Applique Work, Thread Embroidery","Silk, Georgette",Black,Kurta Set
maushmi-goldenrod-kurta-set,"Thread Embroidery, Gota Patti","Silk, Organza","Yellow, Green",Kurta Set
maushmi-dark-green-kurta-set,"Zari Work, Thread Embroidery, Gota Patti","Silk, Organza",Green,Kurta Set
navya-yellow-green-kurta-set,"Zari Work, Applique Work, Thread Embroidery, Scalloping","Silk, Organza","Purple, Yellow, Green",Kurta Set
navya-blue-kurta-set,"Zari Work, Applique Work, Thread Embroidery, Scalloping","Silk, Organza",Blue,Kurta Set
mohini-blue-kurta-set,"Zari Work, Thread Embroidery","Silk, Crepe, Organza",Blue,Kurta Set
gazal-kurta-set,"Applique Work, Pearl Work, Sequin Embroidery",Mulmul,Uncategorized,Kurta Set
nazree-gharara-set,"Zardozi Embroidery, Sequin Embroidery","Tussar, Georgette, Tissue","Beige, White, Gold",Gharara Set
aayat-kurta-set,"Zardozi Embroidery, Sequin Embroidery","Tussar, Georgette, Organza",Uncategorized,Kurta Set
abidha-sharara-set,"Applique Work, Gota Patti, Pearl Work, Sequin Embroidery","Organza, Silk","Pink, Beige",Sharara Set
fazr-kurta-set,"Applique Work, Gota Patti, Pearl Work, Sequin Embroidery","Organza, Silk, Tissue",Uncategorized,Kurta Set
yusra-gharara-set,Zardozi Embroidery,"Tussar, Georgette, Organza",Beige,Gharara Set
nafisa-kurta-set,Thread Embroidery,"Georgette, Silk",Beige,Kurta Set
iqra-anarkali-set,Thread Embroidery,"Organza, Silk",Uncategorized,Anarkali Set
yasmeen-sharara-set,Thread Embroidery,"Organza, Tissue, Silk",Beige,Sharara Set
manhoor-kurta-set,Thread Embroidery,Tulle,Uncategorized,Kurta Set
nikhat-kurta-set,Mukaish Work,"Mulmul, Silk, Organza",Uncategorized,Kurta Set
jhelum-kurta-set,"Thread Embroidery, Gota Patti",Cotton,Uncategorized,Kurta Set
muskaan-anarkali-set,"Thread Embroidery, Gota Patti","Georgette, Silk",Uncategorized,Anarkali Set
afsa-gharara-set,Zardozi Embroidery,"Georgette, Organza, Silk, Tulle",Uncategorized,Gharara Set
gulafsha-kurta-set,Zardozi Embroidery,"Georgette, Silk, Tulle",Pink,Kurta Set
zainab-gharara-set,Zardozi Embroidery,"Georgette, Organza, Tissue, Silk","Beige, Gold, Silver",Gharara Set
shanaaz-sharara-set,"Gota Patti, Zardozi Embroidery","Georgette, Organza, Silk",Pink,Sharara Set
amyra-sharara-set,Zardozi Embroidery,Organza,Uncategorized,Sharara Set
meeza-kurta-set,Zardozi Embroidery,"Georgette, Organza, Silk",Uncategorized,Kurta Set
fatima-kurta-set,Thread Embroidery,Mulmul,Beige,Kurta Set
nura-kurta-set,Thread Embroidery,"Georgette, Silk",Pink,Kurta Set
safia-kurta-set,Thread Embroidery,Mulmul,Uncategorized,Kurta Set
farha-tunic-set,Thread Embroidery,Cotton,Beige,Tunic Set
shiza-kurta-set,Applique Work,Cotton,Uncategorized,Kurta Set
zeenat-kurta-set,Applique Work,Mulmul,Uncategorized,Kurta Set
ruh-tunic,Thread Embroidery,Cotton,Beige,Uncategorized
tanaz-kurta-set,"Thread Embroidery, Eyelet Embroidery, Pearl Work, Sequin Embroidery",Mulmul,Gold,Kurta Set
ruhi-tunic-set,"Thread Embroidery, Pearl Work, Sequin Embroidery","Mulmul, Cotton",Uncategorized,Tunic Set
maryam-kurta-set,"Thread Embroidery, Pearl Work, Sequin Embroidery",Mulmul,Gold,Kurta Set
zubeda-anarkali-set,"Thread Embroidery, Pearl Work, Sequin Embroidery, Mukaish Work",Mulmul,Beige,Anarkali Set
mehak-kurta-set,"Thread Embroidery, Dori Embroidery",Mulmul,Pink,Kurta Set
falak-kurta-set,"Thread Embroidery, Dori Embroidery, Sequin Embroidery",Mulmul,Gold,Kurta Set
afreen-tunic,Thread Embroidery,Mulmul,Uncategorized,Tunic Set
farisha-kurta-set,"Thread Embroidery, Zari Work",Mulmul,Pink,Kurta Set
amreen-anarkali-set,"Thread Embroidery, Dori Embroidery, Sequin Embroidery","Cotton, Mulmul",Beige,Anarkali Set
fiza-kurta-set,"Thread Embroidery, Dori Embroidery","Mulmul, Chiffon",Uncategorized,Kurta Set
gul-tunic,"Applique Work, Thread Embroidery",Mulmul,Uncategorized,Tunic Set
jaahan-anarkali-set,"Applique Work, Thread Embroidery, Sequin Embroidery, Mukaish Work","Cotton, Mulmul",Uncategorized,Anarkali Set
kishawar-anarkali-set,"Applique Work, Thread Embroidery, Sequin Embroidery",Mulmul,Uncategorized,Anarkali Set
nabila-tunic,"Applique Work, Thread Embroidery, Sequin Embroidery",Mulmul,Gold,Tunic Set
mehnaaz-kurta-set,"Thread Embroidery, Sequin Embroidery, Gota Patti","Mulmul, Cotton",Uncategorized,Kurta Set
naila-kurta-set,"Thread Embroidery, Sequin Embroidery","Cotton, Mulmul",Uncategorized,Kurta Set
